id_объекта,истинный_класс,prob_Собака,prob_Кошка,prob_Мышь,разрешение,разметчик
img_0000.jpg,Кошка,0.0423,0.8843,0.0734,800x600,Expert_Anna
img_0001.jpg,Собака,0.3333,0.3445,0.3222,640x480,Intern_Vasya
img_0002.jpg,Кошка,0.0911,0.8326,0.0764,800x600,Expert_Anna
img_0003.jpg,Собака,0.8798,0.0895,0.0307,640x480,Intern_Vasya
img_0004.jpg,Собака,0.9031,0.0383,0.0586,640x480,Intern_Vasya
img_0005.jpg,Кошка,0.0396,0.9357,0.0247,640x480,Expert_Bob
img_0006.jpg,Кошка,0.0447,0.8714,0.0839,1920x1080,Intern_Vasya
img_0007.jpg,Собака,0.922,0.0638,0.0143,1920x1080,Expert_Bob
img_0008.jpg,Собака,0.8984,0.0145,0.0871,800x600,Expert_Bob
img_0009.jpg,Кошка,0.0788,0.0356,0.8856,640x480,Expert_Bob
img_0010.jpg,Кошка,0.0566,0.0239,0.9195,800x600,Expert_Anna
img_0011.jpg,Кошка,0.0933,0.0338,0.8729,640x480,Expert_Bob
img_0012.jpg,Кошка,0.3405,0.3534,0.3061,1920x1080,Intern_Vasya
img_0013.jpg,Собака,0.8477,0.0697,0.0826,1920x1080,Expert_Anna
img_0014.jpg,Кошка,0.0694,0.911,0.0195,800x600,Intern_Vasya
img_0015.jpg,Кошка,0.0155,0.9352,0.0494,800x600,Expert_Anna
img_0016.jpg,Кошка,0.3641,0.3268,0.3091,640x480,Intern_Vasya
img_0017.jpg,Собака,0.3347,0.3045,0.3607,640x480,Intern_Vasya
img_0018.jpg,Собака,0.8245,0.0973,0.0782,800x600,Intern_Vasya
img_0019.jpg,Кошка,0.0103,0.9177,0.072,800x600,Expert_Anna
img_0020.jpg,Собака,0.9331,0.0189,0.048,800x600,Expert_Bob
img_0021.jpg,Собака,0.8847,0.072,0.0433,640x480,Intern_Vasya
img_0022.jpg,Собака,0.3153,0.3269,0.3578,800x600,Intern_Vasya
img_0023.jpg,Собака,0.8525,0.0931,0.0544,1920x1080,Intern_Vasya
img_0024.jpg,Кошка,0.0686,0.8754,0.056,640x480,Expert_Bob
img_0025.jpg,Кошка,0.06,0.8866,0.0534,1920x1080,Expert_Anna
img_0026.jpg,Кошка,0.0208,0.9081,0.0711,1920x1080,Expert_Anna
img_0027.jpg,Собака,0.8761,0.0915,0.0324,640x480,Expert_Bob
img_0028.jpg,Кошка,0.0821,0.9001,0.0178,640x480,Expert_Bob
img_0029.jpg,Кошка,0.0236,0.0902,0.8862,1920x1080,Intern_Vasya
img_0030.jpg,Кошка,0.3543,0.3574,0.2882,640x480,Expert_Bob
img_0031.jpg,Кошка,0.079,0.8487,0.0723,800x600,Expert_Bob
img_0032.jpg,Собака,0.9459,0.0214,0.0328,640x480,Intern_Vasya
img_0033.jpg,Собака,0.9014,0.0879,0.0107,1920x1080,Intern_Vasya
img_0034.jpg,Кошка,0.0505,0.0318,0.9176,800x600,Intern_Vasya
img_0035.jpg,Кошка,0.0874,0.8603,0.0522,800x600,Expert_Anna
img_0036.jpg,Кошка,0.293,0.3586,0.3484,640x480,Expert_Anna
img_0037.jpg,Кошка,0.0354,0.9245,0.0401,1920x1080,Expert_Bob
img_0038.jpg,Кошка,0.015,0.073,0.912,800x600,Expert_Anna
img_0039.jpg,Собака,0.0392,0.9255,0.0353,1920x1080,Expert_Anna
img_0040.jpg,Кошка,0.05,0.0914,0.8586,640x480,Expert_Anna
img_0041.jpg,Собака,0.8905,0.0321,0.0773,640x480,Expert_Anna
img_0042.jpg,Собака,0.071,0.8672,0.0618,800x600,Expert_Anna
img_0043.jpg,Кошка,0.3693,0.3272,0.3034,640x480,Expert_Anna
img_0044.jpg,Кошка,0.0154,0.9047,0.08,640x480,Intern_Vasya
img_0045.jpg,Собака,0.0586,0.8703,0.0711,800x600,Expert_Anna
img_0046.jpg,Собака,0.8559,0.0464,0.0977,1920x1080,Intern_Vasya
img_0047.jpg,Кошка,0.037,0.8783,0.0847,1920x1080,Expert_Anna
img_0048.jpg,Кошка,0.0325,0.8858,0.0817,1920x1080,Expert_Anna
img_0049.jpg,Кошка,0.0551,0.9273,0.0176,1920x1080,Expert_Bob
img_0050.jpg,Кошка,0.0912,0.8682,0.0406,1920x1080,Intern_Vasya
img_0051.jpg,Кошка,0.0677,0.8516,0.0807,800x600,Expert_Anna
img_0052.jpg,Кошка,0.0642,0.0166,0.9192,1920x1080,Expert_Anna
img_0053.jpg,Собака,0.9687,0.0113,0.02,800x600,Expert_Bob
img_0054.jpg,Собака,0.3044,0.3322,0.3634,640x480,Intern_Vasya
img_0055.jpg,Мышь,0.0671,0.0638,0.869,800x600,Intern_Vasya
img_0056.jpg,Собака,0.0304,0.8948,0.0748,1920x1080,Expert_Anna
img_0057.jpg,Собака,0.8625,0.073,0.0645,800x600,Expert_Anna
img_0058.jpg,Собака,0.9373,0.0322,0.0304,1920x1080,Expert_Bob
img_0059.jpg,Кошка,0.0418,0.0831,0.8752,1920x1080,Expert_Anna
img_0060.jpg,Кошка,0.0583,0.8843,0.0574,1920x1080,Expert_Anna
img_0061.jpg,Кошка,0.0726,0.0341,0.8932,1920x1080,Expert_Bob
img_0062.jpg,Собака,0.8364,0.0813,0.0823,800x600,Expert_Anna
img_0063.jpg,Собака,0.8936,0.0115,0.0948,800x600,Expert_Bob
img_0064.jpg,Кошка,0.3338,0.3424,0.3238,800x600,Expert_Bob
img_0065.jpg,Кошка,0.3085,0.3275,0.364,640x480,Intern_Vasya
img_0066.jpg,Кошка,0.0358,0.9084,0.0558,800x600,Expert_Anna
img_0067.jpg,Мышь,0.0691,0.0583,0.8725,640x480,Expert_Anna
img_0068.jpg,Кошка,0.0883,0.8612,0.0505,640x480,Expert_Bob
img_0069.jpg,Кошка,0.0753,0.0715,0.8532,1920x1080,Expert_Anna
img_0070.jpg,Мышь,0.0336,0.0764,0.89,1920x1080,Expert_Anna
