id_объекта,истинный_класс,prob_Собака,prob_Кошка,prob_Мышь,разрешение,разметчик,неуверенность,энтропия,предсказанный_класс,вероятность_ошибки_разметки,дубликат,дефицит_класса,полезность
img_0000.jpg,Кошка,0.0423,0.8843,0.0734,800x600,Expert_Anna,0.1157,0.6265,Кошка,0.0,False,0.7276,0.3036
img_0001.jpg,Собака,0.3333,0.3445,0.3222,640x480,Intern_Vasya,0.6555,1.5844,Кошка,0.3445,False,0.6821,0.6741
img_0002.jpg,Кошка,0.0911,0.8326,0.0764,800x600,Expert_Anna,0.1674,0.8184,Кошка,0.0,False,0.7276,0.3521
img_0003.jpg,Собака,0.8798,0.0895,0.0307,640x480,Intern_Vasya,0.1202,0.6285,Собака,0.0,False,0.6821,0.295
img_0004.jpg,Собака,0.9031,0.0383,0.0586,640x480,Intern_Vasya,0.0969,0.5529,Собака,0.0,False,0.6821,0.276
img_0005.jpg,Кошка,0.0396,0.9357,0.0247,640x480,Expert_Bob,0.0643,0.4061,Кошка,0.0,False,0.7276,0.248
img_0006.jpg,Кошка,0.0447,0.8714,0.0839,1920x1080,Intern_Vasya,0.1286,0.6734,Кошка,0.0,False,0.7276,0.3155
img_0007.jpg,Собака,0.922,0.0638,0.0143,1920x1080,Expert_Bob,0.078,0.449,Собака,0.0,False,0.6821,0.2497
img_0008.jpg,Собака,0.8984,0.0145,0.0871,800x600,Expert_Bob,0.1016,0.5341,Собака,0.0,False,0.6821,0.2712
img_0009.jpg,Кошка,0.0788,0.0356,0.8856,640x480,Expert_Bob,0.1144,0.6154,Мышь,0.8856,False,0.7276,0.6551
img_0010.jpg,Кошка,0.0566,0.0239,0.9195,800x600,Expert_Anna,0.0805,0.4746,Мышь,0.9195,False,0.7276,0.6331
img_0011.jpg,Кошка,0.0933,0.0338,0.8729,640x480,Expert_Bob,0.1271,0.6556,Мышь,0.8729,False,0.7276,0.6601
img_0012.jpg,Кошка,0.3405,0.3534,0.3061,1920x1080,Intern_Vasya,0.6466,1.5823,Кошка,0.0,False,0.7276,0.5448
img_0013.jpg,Собака,0.8477,0.0697,0.0826,1920x1080,Expert_Anna,0.1523,0.7671,Собака,0.0,False,0.6821,0.33
img_0014.jpg,Кошка,0.0694,0.911,0.0195,800x600,Intern_Vasya,0.089,0.5004,Кошка,0.0,False,0.7276,0.2718
img_0015.jpg,Кошка,0.0155,0.9352,0.0494,800x600,Expert_Anna,2.0648,0.3979,Кошка,0.0,False,0.7276,0.2459
img_0016.jpg,Кошка,0.3641,0.3268,0.3091,640x480,Intern_Vasya,0.6359,1.5816,Собака,0.3641,False,0.7276,0.6903
img_0017.jpg,Собака,0.3347,0.3045,0.3607,640x480,Intern_Vasya,0.6393,1.5815,Мышь,0.3607,False,0.6821,0.6798
img_0018.jpg,Собака,0.8245,0.0973,0.0782,800x600,Intern_Vasya,0.1755,0.8441,Собака,0.0,False,0.6821,0.3494
img_0019.jpg,Кошка,0.0103,0.9177,0.072,800x600,Expert_Anna,0.0823,0.455,Кошка,0.0,False,0.7276,0.2603
img_0020.jpg,Собака,0.9331,0.0189,0.048,800x600,Expert_Bob,0.0669,0.4117,Собака,0.0,False,0.6821,0.2403
img_0021.jpg,Собака,0.8847,0.072,0.0433,640x480,Intern_Vasya,0.1153,0.6258,Собака,0.0,False,0.6821,0.2944
img_0022.jpg,Собака,0.3153,0.3269,0.3578,800x600,Intern_Vasya,0.6422,1.5829,Мышь,0.3578,False,0.6821,0.679
img_0023.jpg,Собака,0.8525,0.0931,0.0544,1920x1080,Intern_Vasya,0.1475,0.7436,Собака,0.0,False,0.6821,0.3241
img_0024.jpg,Кошка,0.0686,0.8754,0.056,640x480,Expert_Bob,0.1246,0.6661,Кошка,0.0,False,0.7276,0.3136
img_0025.jpg,Кошка,0.06,0.8866,0.0534,1920x1080,Expert_Anna,0.1134,0.6232,Кошка,0.0,False,0.7276,0.3028
img_0026.jpg,Кошка,0.0208,0.9081,0.0711,1920x1080,Expert_Anna,0.0919,0.5137,Кошка,0.0,False,0.7276,0.2752
img_0027.jpg,Собака,0.8761,0.0915,0.0324,640x480,Expert_Bob,0.1239,0.6432,Собака,0.0,False,0.6821,0.2987
img_0028.jpg,Кошка,0.0821,0.9001,0.0178,640x480,Expert_Bob,0.0999,0.5362,Кошка,0.0,False,0.7276,0.2808
img_0029.jpg,Кошка,0.0236,0.0902,0.8862,1920x1080,Intern_Vasya,0.1138,0.5951,Мышь,0.8862,False,0.7276,0.6502
img_0030.jpg,Кошка,0.3543,0.3574,0.2882,640x480,Expert_Bob,0.6426,1.5782,Кошка,0.0,False,0.7276,0.5438
img_0031.jpg,Кошка,0.079,0.8487,0.0723,800x600,Expert_Bob,0.1513,0.7642,Кошка,0.0,False,0.7276,0.3384
img_0032.jpg,Собака,0.9459,0.0214,0.0328,640x480,Intern_Vasya,0.0541,0.3563,Собака,0.0,False,0.6821,0.2263
img_0033.jpg,Собака,0.9014,0.0879,0.0107,1920x1080,Intern_Vasya,0.0986,0.5134,Собака,0.0,False,0.6821,0.266
img_0034.jpg,Кошка,0.0505,0.0318,0.9176,800x600,Intern_Vasya,0.0824,0.4896,Мышь,0.9176,False,0.7276,0.6361
img_0035.jpg,Кошка,0.0874,0.8603,0.0522,800x600,Expert_Anna,0.1397,0.7164,Кошка,0.0,False,0.7276,0.3263
img_0036.jpg,Кошка,0.293,0.3586,0.3484,640x480,Expert_Anna,0.6414,1.5795,Кошка,0.0,False,0.7276,0.5441
img_0037.jpg,Кошка,0.0354,0.9245,0.0401,1920x1080,Expert_Bob,0.0755,0.4614,Кошка,0.0,False,0.7276,0.262
img_0038.jpg,Кошка,0.015,0.073,0.912,800x600,Expert_Anna,0.088,0.4877,Мышь,0.912,False,0.7276,0.6334
img_0039.jpg,Собака,0.0392,0.9255,0.0353,1920x1080,Expert_Anna,0.0745,0.4568,Кошка,0.9255,False,0.6821,0.6219
img_0040.jpg,Кошка,0.05,0.0914,0.8586,640x480,Expert_Anna,0.1414,0.7204,Мышь,0.8586,False,0.7276,0.6708
img_0041.jpg,Собака,0.8905,0.0321,0.0773,640x480,Expert_Anna,0.1095,0.5937,Собака,0.0,False,0.6821,0.2862
img_0042.jpg,Собака,0.071,0.8672,0.0618,800x600,Expert_Anna,0.1328,0.6974,Кошка,0.8672,False,0.6821,0.6593
img_0043.jpg,Кошка,0.3693,0.3272,0.3034,640x480,Expert_Anna,0.6307,1.5802,Собака,0.3693,False,0.7276,0.692
img_0044.jpg,Кошка,0.0154,0.9047,0.08,640x480,Intern_Vasya,0.0953,0.5149,Кошка,0.0,False,0.7276,0.2755
img_0045.jpg,Собака,0.0586,0.8703,0.0711,800x600,Expert_Anna,0.1297,0.6854,Кошка,0.8703,False,0.6821,0.6575
img_0046.jpg,Собака,0.8559,0.0464,0.0977,1920x1080,Intern_Vasya,0.1441,0.7255,Собака,0.0,False,0.6821,0.3195
img_0047.jpg,Кошка,0.037,0.8783,0.0847,1920x1080,Expert_Anna,0.1217,0.6421,Кошка,0.0,False,0.7276,0.3076
img_0048.jpg,Кошка,0.0325,0.8858,0.0817,1920x1080,Expert_Anna,0.1142,0.6109,Кошка,0.0,False,0.7276,0.2997
img_0049.jpg,Кошка,0.0551,0.9273,0.0176,1920x1080,Expert_Bob,0.0727,0.434,Кошка,0.0,False,0.7276,0.255
img_0050.jpg,Кошка,0.0912,0.8682,0.0406,1920x1080,Intern_Vasya,0.1318,0.6798,Кошка,0.0,False,0.7276,0.3171
img_0051.jpg,Кошка,0.0677,0.8516,0.0807,800x600,Expert_Anna,0.1484,0.7534,Кошка,0.0,False,0.7276,0.3357
img_0052.jpg,Кошка,0.0642,0.0166,0.9192,1920x1080,Expert_Anna,0.0808,0.4642,Мышь,0.9192,False,0.7276,0.6303
img_0053.jpg,Собака,0.9687,0.0113,0.02,800x600,Expert_Bob,0.0313,0.2304,Собака,0.0,False,0.6821,0.1946
img_0054.jpg,Собака,0.3044,0.3322,0.3634,640x480,Intern_Vasya,0.6366,1.5812,Мышь,0.3634,False,0.6821,0.6808
img_0055.jpg,Мышь,0.0671,0.0638,0.869,800x600,Intern_Vasya,0.131,0.6909,Мышь,0.0,False,6.2654,1.4274
